time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.2072593128548412e-07,3.957714444813062e-07,10.003777631163556,0.0003436130320721986,0.00012751860803650317,0.0,-1.109793015268847e-05,3.3427800163311895e-05,0.12591469810803635,0.015244503912370366,0.006069264834179677,0.0,445.2888117268775,445.7848986609486,443.93046234747385,445.17929203519515
0.12000000000000001,-5.8698009566798335e-06,1.536232180176145e-05,10.019076047671538,0.0011704472866096438,0.0006099318194374703,0.0,-0.00023395029053075464,0.000574861687665176,0.38398100106174915,0.01067908658472644,0.0117164762322353,0.0,484.7277244001727,485.1517266737942,484.23460773473664,483.89098128738294
0.18,-3.487959221651899e-05,7.598090748681763e-05,10.044789252630064,0.0016502484332923117,0.0011793679612202013,0.0,-0.0007973136078427673,0.0015025943633213664,0.473092452055996,0.002004723003030545,0.004619040783364723,0.0,433.54360820266794,432.946843751896,434.3236569398442,433.59553616114624
0.23999999999999996,-0.00011511155225771592,0.00020993611512787352,10.081537918636371,0.0019910622449916815,0.0009479530563334393,0.0,-0.0018941752385181591,0.0029930605471152885,0.751721638910033,0.012170412987325404,-0.031959064499346795,0.0,492.9112558243225,490.2010901974844,489.23865622664715,489.99476260507885
0.3,-0.00024334697626944435,0.000439821541223161,10.132690301510642,0.0024995475628983854,6.2826142819355795,0.0,-0.002182117619917906,0.004743449718030538,0.9532112747332807,-0.0001899047053559649,-0.014556207826369972,0.0,467.8346309437185,469.1873948448675,469.16158164524165,468.20093799006065
0.36000000000000004,-0.0003574908217041228,0.0007825798724052872,10.19549583509385,0.002082805052574521,6.281247498743166,0.0,-0.0015056751959392869,0.006663206696389423,1.1401386324911265,-0.026015713912654507,-0.04925960618094522,0.0,465.1698169213383,462.44439821124456,466.3798894201011,464.3586992588285
0.4200000000000001,-0.0003838473313668675,0.0012300926521046928,10.272500403537501,0.0009416353396112243,6.279015116657138,0.0,0.0009532895538554373,0.008081852475000196,1.4263676205123172,-0.007794712570711267,-0.02016091325473949,0.0,492.8448240728468,494.98994539486824,492.90002979376914,494.24467550233624
0.48000000000000015,-0.00022836965150607356,0.0017351169561748904,10.362769680475541,0.0011672132084727949,6.27754606146674,0.0,0.004374106320459602,0.008745999191328385,1.582404653871826,0.02029432765747521,-0.034953050358830194,0.0,456.9344163581531,455.75367027646917,455.18323081023516,457.4253538978244
0.5400000000000001,0.0001461638953845064,0.0022857019630382652,10.458653495545537,0.002235489824551351,6.275464790488016,0.0,0.00830192353051324,0.00971221942657224,1.6136773496943946,0.012291882547787777,-0.03416276919285278,0.0,416.8112114354527,416.87967031265373,417.60900571074717,416.91040245190106
0.6000000000000002,0.0008452378421132879,0.002927228165651244,10.562647733871055,0.0027167030105239576,6.273571220847128,0.0,0.015238682165768534,0.011747976809838018,1.8524395187943834,-0.002297058357647555,-0.026804990507116298,0.0,481.2629685793845,481.819228650811,481.7876810768358,480.68337465021665
0.6600000000000003,0.0019919742155100066,0.003695090489853485,10.679576637995803,0.0024120994033305365,6.2718608868469214,0.0,0.023174291975059762,0.013821754045305192,2.044864749271648,-0.011313883785306306,-0.03214366662562336,0.0,468.799319916575,468.38415370963355,468.8873999641917,468.18651651819755
0.7200000000000003,0.0036014418672134,0.004567171077239062,10.80335103511285,0.0015986075365210795,6.26969592418039,0.0,0.030661888062613354,0.015178790231938508,2.0808812584261953,-0.018473881538331176,-0.04542968470139266,0.0,420.1665234525673,419.01243298738723,421.30417731162606,420.6847815791092
0.7800000000000004,0.005763568796501217,0.005509983153433781,10.933607823790053,0.0001452688091267973,6.267249818877048,0.0,0.04169700725709137,0.016106179941133253,2.260669655065901,-0.03934865355408417,-0.03278135644159034,0.0,464.5821435821487,465.5719314592953,466.98485141951875,465.35365613525704
0.8400000000000004,0.008524456058731422,0.006471640830208136,11.067480543265274,6.280832714256469,6.2652225308095275,0.0,0.05049115121304319,0.015758632528514088,2.201866815269137,-0.04663705402708649,-0.03588132355851763,0.0,388.2748522549153,387.98327359514855,389.4229827891412,388.7394242130135
0.9000000000000005,0.011919021636631548,0.0073600002473519595,11.201811885047576,6.277879890864888,6.2628253002615,0.0,0.06288001185455461,0.013572163756480413,2.275694983053225,-0.054939556573586665,-0.0496840152628859,0.0,433.82606480643653,432.6646822940031,433.6970196382753,432.99755068467243
0.9600000000000005,0.016184283155360295,0.00803514372710253,11.344237381173231,6.274682539039389,6.259677264020816,0.0,0.07964202827670863,0.008558146505314921,2.471408992801484,-0.050178572589693715,-0.05871051652778794,0.0,470.90266248270376,470.20227672030256,471.58018876099396,471.9460937564856
1.0200000000000005,0.02134842109311438,0.008403998973930368,11.490823962417538,6.271693666984749,6.256242718948663,0.0,0.09277293906731239,0.003499452368368715,2.4149219086182967,-0.04909647449329374,-0.054458118616017244,0.0,390.58569619542413,390.97932699019896,390.1992704040308,390.298342019767
